b'3186475, -0.02, -0.03, 0.95, -0.30, 0.12, -0.61, 74.57, -23.86, -13.50, -0.7088, 0.0264, 0.0040, -0.7049, 4.91, 1.83, 270.36, 107.74\r\n'
b'3186575, -0.01, -0.03, 0.95, -0.24, 0.43, -0.61, 76.97, -25.66, -14.25, -0.7091, 0.0264, 0.0040, -0.7046, 4.91, 1.83, 270.41, 108.43\r\n'
b'3186675, -0.01, -0.03, 0.96, -0.24, 0.24, -0.55, 75.77, -25.51, -15.75, -0.7095, 0.0264, 0.0040, -0.7042, 4.91, 1.83, 270.46, 108.60\r\n'
b'3186775, -0.01, -0.03, 0.97, -0.18, 0.30, -0.61, 77.12, -24.46, -15.75, -0.7098, 0.0264, 0.0039, -0.7039, 4.90, 1.83, 270.52, 107.59\r\n'
b'3186875, -0.01, -0.03, 0.96, -0.24, 0.24, -0.61, 77.12, -24.76, -15.15, -0.7101, 0.0264, 0.0039, -0.7036, 4.89, 1.83, 270.57, 107.80\r\n'
b'3186975, -0.01, -0.03, 0.96, -0.30, 0.30, -0.61, 75.32, -24.61, -15.60, -0.7104, 0.0264, 0.0039, -0.7033, 4.90, 1.84, 270.62, 108.09\r\n'
b'3187075, -0.01, -0.03, 0.97, -0.24, 0.24, -0.55, 76.52, -24.76, -14.70, -0.7108, 0.0264, 0.0039, -0.7029, 4.89, 1.84, 270.67, 107.93\r\n'
b'3187175, -0.01, -0.04, 0.97, -0.30, 0.30, -0.55, 75.47, -25.06, -14.70, -0.7111, 0.0264, 0.0038, -0.7026, 4.88, 1.84, 270.73, 108.37\r\n'
b'3187275, -0.02, -0.03, 0.95, -0.24, 0.18, -0.49, 76.82, -25.51, -15.15, -0.7114, 0.0264, 0.0038, -0.7023, 4.86, 1.85, 270.78, 108.37\r\n'
b'3187375, -0.01, -0.03, 0.97, -0.24, 0.30, -0.55, 75.62, -25.96, -15.90, -0.7117, 0.0263, 0.0038, -0.7019, 4.85, 1.85, 270.83, 108.94\r\n'
